Timestamp,Src IP,Dst IP,Protocol,Src Port,Dst Port
1751525427.209109,10.14.146.90,20.195.84.16,TCP,51939,443
1751525427.234103,20.189.173.1,10.14.146.90,TCP,443,52683
1751525427.285099,10.14.146.90,20.195.84.16,TCP,51940,443
1751525427.297130,20.195.84.16,10.14.146.90,TCP,443,51939
1751525427.369095,10.14.146.30,10.14.147.255,UDP,48818,58581
1751525427.374160,20.195.84.16,10.14.146.90,TCP,443,51940
1751525427.862110,10.14.146.90,23.212.242.76,UDP,59540,443
1751525427.882388,10.14.146.30,10.14.147.255,UDP,48818,58581
1751525427.889346,23.212.242.76,10.14.146.90,UDP,443,59540
1751525428.086253,10.14.146.215,224.0.0.251,UDP,5353,5353
